date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-14_13-24-48,1465903488.26783,0,0,0,0,0,0,-1,4,-15,-6.660000,15.010000,154.130005,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.30510,0,0,0,0,0,0,-1,4,-15,-6.340000,15.000000,154.220001,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.38043,0,0,0,0,0,0,-1,4,-15,-6.170000,14.930000,153.850006,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.41764,0,0,0,0,0,0,-1,4,-15,-6.190000,14.730000,153.279999,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.45533,0,0,0,0,0,0,-1,4,-15,-6.150000,14.550000,152.839996,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.53026,0,0,0,0,0,0,-1,3,-15,-6.160000,14.450000,152.619995,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.56787,0,0,0,0,0,0,-1,3,-15,-6.040000,14.410000,152.220001,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.60512,0,0,0,0,0,0,-1,4,-15,-5.960000,14.380000,151.550003,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.68042,0,0,0,0,0,0,-1,4,-14,-6.050000,14.320000,151.000000,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.71763,0,0,0,0,0,0,0,4,-15,-6.440000,14.160000,150.830002,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.75535,0,0,0,0,0,0,-1,3,-15,-6.730000,13.830000,150.839996,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.83027,0,0,0,0,0,0,-1,4,-15,-6.610000,13.760000,150.539993,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.86783,0,0,0,0,0,0,-1,4,-15,-6.420000,13.930000,150.080002,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.90517,0,0,0,0,0,0,-1,3,-15,-6.300000,14.220000,149.770004,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.98043,0,0,0,0,0,0,-1,4,-15,-6.110000,14.000000,149.149994,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.01763,0,0,0,0,0,0,-1,5,-14,-5.860000,14.050000,148.190002,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.05535,0,0,0,0,0,0,-1,5,-15,-5.710000,14.240000,147.869995,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.13024,0,0,0,0,0,0,-1,4,-15,-5.620000,14.360000,148.360001,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.16785,0,0,0,0,0,0,-1,3,-15,-5.480000,14.300000,148.960007,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.20513,0,0,0,0,0,0,-1,3,-15,-5.290000,14.300000,149.110001,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.28045,0,0,0,0,0,0,-1,3,-15,-5.110000,14.250000,148.789993,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.31766,0,0,0,0,0,0,-2,3,-15,-5.150000,14.100000,148.350006,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.35535,0,0,0,0,0,0,-2,4,-15,-5.120000,14.050000,147.729996,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.43027,0,0,0,0,0,0,-1,4,-15,-5.370000,14.100000,147.369995,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.46784,0,0,0,0,0,0,-1,4,-15,-5.740000,13.880000,147.119995,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.50513,0,0,0,0,0,0,-1,4,-15,-5.930000,13.550000,146.839996,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.61714,0,0,0,0,0,0,0,4,-15,-6.000000,13.250000,146.639999,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.61925,0,0,0,0,1,0,-1,4,-15,-6.090000,13.000000,146.679993,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.65537,0,0,0,0,0,0,-1,4,-15,-6.100000,12.840000,146.809998,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.73023,0,0,0,0,0,0,-1,3,-15,-6.080000,12.690000,146.820007,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.76784,0,0,0,0,0,0,-1,3,-15,-6.150000,12.520000,146.710007,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.80519,0,0,0,0,0,0,-1,3,-15,-6.090000,12.430000,146.350006,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.88047,24,70,0,0,0,0,-1,4,-15,-6.220000,12.350000,145.949997,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.91776,0,0,0,0,0,0,0,4,-15,-6.470000,12.330000,145.869995,0,0,5,0,0,0
2016-06-14_13-24-49,1465903489.95523,0,0,0,0,0,0,0,4,-15,-6.570000,12.430000,146.229996,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.03030,0,0,0,0,0,0,-1,4,-15,-6.410000,12.410000,146.610001,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.06792,0,0,0,0,0,0,-1,3,-15,-6.280000,12.350000,146.789993,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.10515,0,0,0,0,0,0,-1,3,-15,-6.240000,12.090000,146.639999,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.18044,0,0,0,0,0,0,-1,4,-15,-6.260000,12.100000,146.429993,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.21765,0,0,0,0,0,0,-1,4,-15,-6.260000,12.140000,146.669998,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.25515,0,0,0,0,0,0,-1,3,-15,-6.060000,12.000000,147.070007,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.33030,0,0,0,0,0,0,-1,3,-15,-5.960000,11.950000,147.330002,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.36785,0,0,0,0,0,0,-1,4,-15,-5.980000,12.160000,147.389999,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.40515,0,0,0,0,0,0,-1,4,-15,-5.930000,12.270000,147.369995,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.48047,0,0,0,0,0,0,-1,3,-15,-5.960000,12.270000,147.380005,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.51765,0,0,0,0,0,0,-1,3,-15,-6.040000,12.340000,147.339996,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.55516,0,0,0,0,0,0,-1,3,-15,-6.150000,12.370000,147.300003,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.63031,0,0,0,0,0,0,-1,3,-15,-6.220000,12.440000,147.270004,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.66787,0,0,0,0,0,0,-1,3,-15,-6.180000,12.530000,147.190002,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.70545,0,0,0,0,0,0,-1,3,-15,-5.980000,12.720000,146.940002,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.78067,0,0,0,0,0,0,-1,3,-15,-5.880000,13.100000,146.639999,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.81775,0,0,0,0,0,0,-1,4,-15,-5.900000,13.770000,146.360001,0,0,5,0,0,0
2016-06-14_13-24-50,1465903490.85525,0,0,0,0,0,0,-1,4,-15,-5.860000,15.010000,146.309998,0,0,5,0,0,0
